title,description,category,priority,days_until_due,due_date
Write architecture doc for admin dashboard,"API consumers are confused about auth service usage, needs docs.",Documentation,MEDIUM,12,2026-08-25
Patch memory leak in React frontend service,Stack trace shows a SSO exception thrown from the search service handler.,Bug Fix,MEDIUM,8,2026-08-21
Address null pointer exception in auth service,Users report authentication fails intermittently after the latest deploy to mobile app.,Bug Fix,MEDIUM,4,2026-08-17
Migrate React frontend to new cluster,Need to migrate reporting engine off legacy infrastructure this quarter.,DevOps/Infrastructure,MEDIUM,10,2026-08-23
Design UI mockups for backend API,"Create a design spec for the new search service experience. Needed before end of sprint, please prioritize.",Design,HIGH,5,2026-08-18
Update README for backend API service,"API consumers are confused about mobile app usage, needs docs. No rush, whenever you get a chance.",Documentation,LOW,49,2026-10-01
Fix exposed checkout endpoint in user service,"Pen test found an exposed search in the notification service API. Someday/maybe, not time sensitive.",Security,LOW,19,2026-09-01
Fix incorrect search calculation in user service,"QA found this reproducible on auth service under user profile load. Nice to have, low priority.",Bug Fix,LOW,21,2026-09-03
Design icon set for user service,"Create a design spec for the new admin dashboard experience. Nice to have, low priority.",Design,LOW,36,2026-09-18
Build new notification service onboarding flow,Customer requested billing functionality for user service.,Feature Development,MEDIUM,12,2026-08-25
Fix exposed checkout endpoint in user service,Pen test found an exposed upload in the payments service API.,Security,MEDIUM,9,2026-08-22
Implement chat export for mobile app,Customer requested export functionality for notification service.,Feature Development,MEDIUM,14,2026-08-27
Create onboarding guide for auth service,"API consumers are confused about React frontend usage, needs docs. Important for the client demo next week.",Documentation,HIGH,1,2026-08-14
Coordinate search kickoff meeting,"Book time with admin dashboard team to discuss session plan. Someday/maybe, not time sensitive.",Meeting/Admin,LOW,32,2026-09-14
Patch chat vulnerability in React frontend,Security scan flagged a chat vulnerability in React frontend.,Security,MEDIUM,9,2026-08-22
Create export integration with reporting engine,Design has finalized mockups for the reporting feature in admin dashboard.,Feature Development,MEDIUM,11,2026-08-24
Resolve login failure for analytics users,"QA found this reproducible on payments service under search load. No rush, whenever you get a chance.",Bug Fix,LOW,19,2026-09-01
Investigate reporting performance issue in checkout flow,Explore whether billing is viable for the auth service rewrite.,Research,MEDIUM,7,2026-08-20
Migrate payments service to new cluster,"checkout flow deploys are manual and error-prone; automate with CI/CD. Needed before end of sprint, please prioritize.",DevOps/Infrastructure,HIGH,1,2026-08-14
Research mobile options for user service,Team needs a recommendation on mobile approach for payments service.,Research,MEDIUM,10,2026-08-23
Spike on user profile feasibility for checkout flow,Explore whether reporting is viable for the reporting engine rewrite.,Research,MEDIUM,14,2026-08-27
Investigate checkout performance issue in payments service,Team needs a recommendation on mobile approach for notification service. This is blocking the release and needs to be fixed ASAP.,Research,URGENT,-1,2026-08-12
Fix incorrect billing calculation in auth service,Stack trace shows a export exception thrown from the notification service handler.,Bug Fix,MEDIUM,13,2026-08-26
Refactor legacy admin dashboard code,"Tech debt in search service is slowing down feature work, needs refactor.",Maintenance,MEDIUM,4,2026-08-17
Update README for reporting engine service,"The billing process isn't documented anywhere; write a guide. Customer-facing outage, top priority.",Documentation,URGENT,-1,2026-08-12
Increase test coverage on user service,"Coverage on backend API is below target; add tests before release. Customer-facing outage, top priority.",Testing,URGENT,1,2026-08-14
Coordinate mobile kickoff meeting,Prepare status update for billing to share with leadership.,Meeting/Admin,MEDIUM,12,2026-08-25
Prepare slides for backend API review,Book time with user service team to discuss mobile plan.,Meeting/Admin,MEDIUM,11,2026-08-24
Build new auth service onboarding flow,Customer requested session functionality for search service. This is a P0 blocker for the launch tomorrow.,Feature Development,URGENT,0,2026-08-13
Set up retro for payments service team,Prepare status update for analytics to share with leadership.,Meeting/Admin,MEDIUM,10,2026-08-23
Add regression tests for checkout flow,"QA wants automated E2E coverage for reporting before launch. Someday/maybe, not time sensitive.",Testing,LOW,22,2026-09-04
Design icon set for auth service,"Create a design spec for the new mobile app experience. Nice to have, low priority.",Design,LOW,53,2026-10-05
Increase test coverage on reporting engine,Coverage on search service is below target; add tests before release. This is high priority for the upcoming release.,Testing,HIGH,2,2026-08-15
Fix exposed checkout endpoint in user service,Pen test found an exposed user profile in the notification service API. This is high priority for the upcoming release.,Security,HIGH,1,2026-08-14
Configure autoscaling for auth service,billing module deploys are manual and error-prone; automate with CI/CD. This is blocking the release and needs to be fixed ASAP.,DevOps/Infrastructure,URGENT,0,2026-08-13
Research upload options for notification service,Team needs a recommendation on chat approach for notification service.,Research,MEDIUM,8,2026-08-21
Set up CI/CD pipeline for billing module,"Need to migrate payments service off legacy infrastructure this quarter. No rush, whenever you get a chance.",DevOps/Infrastructure,LOW,59,2026-10-11
Fix race condition in search service module,Users report checkout fails intermittently after the latest deploy to checkout flow.,Bug Fix,MEDIUM,4,2026-08-17
Upgrade React frontend dependencies,React frontend dependencies are several versions behind and need upgrading. Can be picked up next quarter.,Maintenance,LOW,24,2026-09-06
Design icon set for billing module,"Current analytics UI feels dated, redesign requested by stakeholders. Important for the client demo next week.",Design,HIGH,3,2026-08-16
Write API docs for notification service endpoints,The authentication process isn't documented anywhere; write a guide. Important for the client demo next week.,Documentation,HIGH,3,2026-08-16
Create wireframes for checkout flow,"Current analytics UI feels dated, redesign requested by stakeholders.",Design,MEDIUM,13,2026-08-26
Add integration tests for SSO flow,"The SSO flow has no automated tests, causing repeat regressions. Important for the client demo next week.",Testing,HIGH,4,2026-08-17
Spike on OAuth token feasibility for billing module,Explore whether reporting is viable for the backend API rewrite.,Research,MEDIUM,3,2026-08-16
Upgrade mobile app dependencies,"Tech debt in payments service is slowing down feature work, needs refactor.",Maintenance,MEDIUM,9,2026-08-22
Patch memory leak in checkout flow service,Users report export fails intermittently after the latest deploy to reporting engine. Can be picked up next quarter.,Bug Fix,LOW,40,2026-09-22
Investigate analytics performance issue in reporting engine,"Unclear why mobile app is slow under session; needs investigation. Urgent request from the CEO, needs to ship today.",Research,URGENT,-1,2026-08-12
Spike on export feasibility for notification service,Explore whether upload is viable for the checkout flow rewrite.,Research,MEDIUM,14,2026-08-27
Set up monitoring for notification service service,Need to migrate backend API off legacy infrastructure this quarter.,DevOps/Infrastructure,MEDIUM,9,2026-08-22
Write architecture doc for admin dashboard,New engineers need clearer docs on how billing module works.,Documentation,MEDIUM,11,2026-08-24
Migrate backend API to new cluster,Ops wants alerting configured for admin dashboard before it handles more traffic. Important for the client demo next week.,DevOps/Infrastructure,HIGH,4,2026-08-17
Upgrade backend API dependencies,"Tech debt in auth service is slowing down feature work, needs refactor.",Maintenance,MEDIUM,4,2026-08-17
